Row,Col
634,1402
635,635
635,1122
635,1252
635,1403
636,636
636,1123
636,1253
636,1404
637,637
637,1124
637,1254
637,1405
638,638
638,1125
638,1255
638,1406
639,639
639,1126
639,1256
639,1407
640,640
640,1205
640,1354
640,1453
641,641
641,1206
641,1355
641,1454
642,642
642,1207
642,1356
642,1455
643,643
643,1208
643,1357
643,1456
644,644
644,1209
644,1358
644,1457
645,645
645,1210
645,1359
645,1458
646,646
646,1211
646,1360
646,1459
647,647
647,1212
647,1361
647,1460
648,648
648,1213
648,1362
648,1461
649,649
649,1214
649,1363
649,1462
650,650
650,1215
650,1364
650,1463
651,651
651,1216
651,1365
651,1464
652,652
652,1217
652,1366
652,1465
653,653
653,1218
653,1367
653,1466
654,654
654,1219
654,1368
654,1467
655,655
655,1220
655,1369
655,1468
656,656
656,1221
656,1370
656,1469
657,657
657,1222
657,1371
657,1470
658,658
658,1223
658,1372
658,1471
659,659
659,1224
659,1373
659,1472
660,660
660,1225
660,1374
660,1473
661,661
661,1226
661,1375
661,1474
662,662
662,1227
662,1376
662,1475
663,663
663,1228
663,1377
663,1476
664,664
664,1229
664,1378
664,1477
665,665
665,1230
665,1379
665,1478
666,666
666,1231
666,1380
666,1479
667,667
667,1232
667,1381
667,1480
668,668
668,1233
668,1382
668,1481
669,669
669,1234
669,1383
669,1482
670,670
670,1235
670,1384
670,1483
671,671
671,1236
671,1385
671,1484
672,672
672,1237
672,1386
672,1485
673,673
673,1238
673,1387
673,1486
674,674
674,1239
674,1388
674,1487
675,675
675,1240
675,1389
675,1488
676,676
676,1241
676,1390
676,1489
677,677
677,1242
677,1391
677,1490
678,678
678,1243
678,1392
678,1491
679,679
679,1244
679,1393
679,1492
680,680
680,1245
680,1394
680,1493
681,681
681,1246
681,1395
681,1494
682,682
682,1247
682,1396
682,1495
683,683
683,1248
683,1397
683,1496
684,684
684,1249
684,1398
684,1497
685,685
685,1250
685,1399
685,1498
686,686
686,1251
686,1400
686,1499
687,687
687,1252
687,1401
687,1500
688,688
688,1253
688,1402
688,1501
689,689
689,1254
689,1403
689,1502
690,690
690,1255
690,1404
690,1503
691,691
691,1256
691,1405
691,1504
692,692
692,1257
692,1406
692,1505
693,693
693,1258
693,1407
693,1506
694,694
694,1259
694,1280
694,1507
695,695
695,1260
695,1281
695,1508
696,696
696,1261
696,1282
696,1509
697,697
697,1262
697,1283
697,1510
698,698
698,1263
698,1284
698,1511
699,699
699,1264
699,1285
699,1512
700,700
700,1265
700,1286
700,1513
701,701
701,1266
701,1287
701,1514
702,702
702,1267
702,1288
702,1515
703,703
703,1268
703,1289
703,1516
704,704
704,1269
704,1290
704,1517
705,705
705,1270
705,1291
705,1518
706,706
706,1271
706,1292
706,1519
707,707
707,1272
707,1293
707,1520
708,708
708,1273
708,1294
708,1521
709,709
709,1274
709,1295
709,1522
710,710
710,1275
710,1296
710,1523
711,711
711,1276
711,1297
711,1524
712,712
712,1277
712,1298
712,1525
713,713
713,1278
713,1299
713,1526
714,714
714,1279
714,1300
714,1527
715,715
715,1152
715,1301
715,1528
716,716
716,1153
716,1302
716,1529
717,717
717,1154
717,1303
717,1530
718,718
718,1155
718,1304
718,1531
719,719
719,1156
719,1305
719,1532
720,720
720,1157
720,1306
720,1533
721,721
721,1158
721,1307
721,1534
722,722
722,1159
722,1308
722,1535
723,723
723,1160
723,1309
723,1408
724,724
724,1161
724,1310
724,1409
725,725
725,1162
725,1311
725,1410
726,726
726,1163
726,1312
726,1411
727,727
727,1164
727,1313
727,1412
728,728
728,1165
728,1314
728,1413
729,729
729,1166
729,1315
729,1414
730,730
730,1167
730,1316
730,1415
731,731
731,1168
731,1317
731,1416
732,732
732,1169
732,1318
732,1417
733,733
733,1170
733,1319
733,1418
734,734
734,1171
734,1320
734,1419
735,735
735,1172
735,1321
735,1420
736,736
736,1173
736,1322
736,1421
737,737
737,1174
737,1323
737,1422
738,738
738,1175
738,1324
738,1423
739,739
739,1176
739,1325
739,1424
740,740
740,1177
740,1326
740,1425
741,741
741,1178
741,1327
741,1426
742,742
742,1179
742,1328
742,1427
743,743
743,1180
743,1329
743,1428
744,744
744,1181
744,1330
744,1429
745,745
745,1182
745,1331
745,1430
746,746
746,1183
746,1332
746,1431
747,747
747,1184
747,1333
747,1432
748,748
748,1185
748,1334
748,1433
749,749
749,1186
749,1335
749,1434
750,750
750,1187
750,1336
750,1435
751,751
751,1188
751,1337
751,1436
752,752
752,1189
752,1338
752,1437
753,753
753,1190
753,1339
753,1438
754,754
754,1191
754,1340
754,1439
755,755
755,1192
755,1341
755,1440
756,756
756,1193
756,1342
756,1441
757,757
757,1194
757,1343
757,1442
758,758
758,1195
758,1344
758,1443
759,759
759,1196
759,1345
759,1444
760,760
760,1197
760,1346
760,1445
761,761
761,1198
761,1347
761,1446
762,762
762,1199
762,1348
762,1447
763,763
763,1200
763,1349
763,1448
764,764
764,1201
764,1350
764,1449
765,765
765,1202
765,1351
765,1450
766,766
766,1203
766,1352
766,1451
767,767
767,1204
767,1353
767,1452
768,768
768,1113
768,1288
768,1527
769,769
769,1114
769,1289
769,1528
770,770
770,1115
770,1290
770,1529
771,771
771,1116
771,1291
771,1530
772,772
772,1117
772,1292
772,1531
773,773
773,1118
773,1293
773,1532
774,774
774,1119
774,1294
774,1533
775,775
775,1120
775,1295
775,1534
776,776
776,1121
776,1296
776,1535
777,777
777,1122
777,1297
777,1408
778,778
778,1123
778,1298
778,1409
779,779
779,1124
779,1299
779,1410
780,780
780,1125
780,1300
780,1411
781,781
781,1126
781,1301
781,1412
782,782
782,1127
782,1302
782,1413
783,783
783,1128
783,1303
783,1414
784,784
784,1129
784,1304
784,1415
785,785
785,1130
785,1305
785,1416
786,786
786,1131
786,1306
786,1417
787,787
787,1132
787,1307
787,1418
788,788
788,1133
788,1308
788,1419
789,789
789,1134
789,1309
789,1420
790,790
790,1135
790,1310
790,1421
791,791
791,1136
791,1311
791,1422
792,792
792,1137
792,1312
792,1423
793,793
793,1138
793,1313
793,1424
794,794
794,1139
794,1314
794,1425
795,795
795,1140
795,1315
795,1426
796,796
796,1141
796,1316
796,1427
797,797
797,1142
797,1317
797,1428
798,798
798,1143
798,1318
798,1429
799,799
799,1144
799,1319
799,1430
800,800
800,1145
800,1320
800,1431
801,801
801,1146
801,1321
801,1432
802,802
802,1147
802,1322
802,1433
803,803
803,1148
803,1323
803,1434
804,804
804,1149
804,1324
804,1435
805,805
805,1150
805,1325
805,1436
806,806
806,1151
806,1326
806,1437
807,807
807,1024
807,1327
807,1438
808,808
808,1025
808,1328
808,1439
809,809
809,1026
809,1329
809,1440
810,810
810,1027
810,1330
810,1441
811,811
811,1028
811,1331
811,1442
812,812
812,1029
812,1332
812,1443
813,813
813,1030
813,1333
813,1444
814,814
814,1031
814,1334
814,1445
815,815
815,1032
815,1335
815,1446
816,816
816,1033
816,1336
816,1447
817,817
817,1034
817,1337
817,1448
818,818
818,1035
818,1338
818,1449
819,819
819,1036
819,1339
819,1450
820,820
820,1037
820,1340
820,1451
821,821
821,1038
821,1341
821,1452
822,822
822,1039
822,1342
822,1453
823,823
823,1040
823,1343
823,1454
824,824
824,1041
824,1344
824,1455
825,825
825,1042
825,1345
825,1456
826,826
826,1043
826,1346
826,1457
827,827
827,1044
827,1347
827,1458
828,828
828,1045
828,1348
828,1459
829,829
829,1046
829,1349
829,1460
830,830
830,1047
830,1350
830,1461
831,831
831,1048
831,1351
831,1462
832,832
832,1049
832,1352
832,1463
833,833
833,1050
833,1353
833,1464
834,834
834,1051
834,1354
834,1465
835,835
835,1052
835,1355
835,1466
836,836
836,1053
836,1356
836,1467
837,837
837,1054
837,1357
837,1468
838,838
838,1055
838,1358
838,1469
839,839
839,1056
839,1359
839,1470
840,840
840,1057
840,1360
840,1471
841,841
841,1058
841,1361
841,1472
842,842
842,1059
842,1362
842,1473
843,843
843,1060
843,1363
843,1474
844,844
844,1061
844,1364
844,1475
845,845
845,1062
845,1365
845,1476
846,846
846,1063
846,1366
846,1477
847,847
847,1064
847,1367
847,1478
848,848
848,1065
848,1368
848,1479
849,849
849,1066
849,1369
849,1480
850,850
850,1067
850,1370
850,1481
851,851
851,1068
851,1371
851,1482
852,852
852,1069
852,1372
852,1483
853,853
853,1070
853,1373
853,1484
854,854
854,1071
854,1374
854,1485
855,855
855,1072
855,1375
855,1486
856,856
856,1073
856,1376
856,1487
857,857
857,1074
857,1377
857,1488
858,858
858,1075
858,1378
858,1489
859,859
859,1076
859,1379
859,1490
860,860
860,1077
860,1380
860,1491
861,861
861,1078
861,1381
861,1492
862,862
862,1079
862,1382
862,1493
863,863
863,1080
863,1383
863,1494
864,864
864,1081
864,1384
864,1495
865,865
865,1082
865,1385
865,1496
866,866
866,1083
866,1386
866,1497
867,867
867,1084
867,1387
867,1498
868,868
868,1085
868,1388
868,1499
869,869
869,1086
